Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1uF","C_0603_1608Metric",116.853000,-89.281000,0.000000,top
"C2","1uF","C_0603_1608Metric",108.445000,-106.299000,180.000000,top
"D1","LED","LED_0603_1608Metric_NoSilkscreen",131.800000,-98.200000,125.000000,top
"D2","LED","LED_0603_1608Metric_NoSilkscreen",128.900000,-96.200000,-30.000000,top
"D3","LED","LED_0603_1608Metric_NoSilkscreen",126.000000,-94.700000,150.000000,top
"D4","LED","LED_0603_1608Metric_NoSilkscreen",123.200000,-92.900000,-50.000000,top
"D5","LED","LED_0603_1608Metric_NoSilkscreen",122.600000,-89.600000,90.000000,top
"D6","LED","LED_0603_1608Metric_NoSilkscreen",122.600000,-86.300000,-90.000000,top
"D7","LED","LED_0603_1608Metric_NoSilkscreen",124.000000,-83.300000,45.000000,top
"D8","LED","LED_0603_1608Metric_NoSilkscreen",127.287500,-82.500000,180.000000,top
"D9","LED","LED_0603_1608Metric_NoSilkscreen",130.287500,-82.500000,180.000000,top
"D10","LED","LED_0603_1608Metric_NoSilkscreen",133.287500,-82.500000,0.000000,top
"D11","LED","LED_0603_1608Metric_NoSilkscreen",136.287500,-82.500000,180.000000,top
"D12","LED","LED_0603_1608Metric_NoSilkscreen",139.287500,-82.500000,180.000000,top
"D13","LED","LED_0603_1608Metric_NoSilkscreen",142.287500,-82.500000,0.000000,top
"D14","LED","LED_0603_1608Metric_NoSilkscreen",145.287500,-82.500000,180.000000,top
"D15","LED","LED_0603_1608Metric_NoSilkscreen",148.287500,-82.500000,180.000000,top
"D16","LED","LED_0603_1608Metric_NoSilkscreen",151.287500,-82.500000,0.000000,top
"D17","LED","LED_0603_1608Metric_NoSilkscreen",154.178000,-83.185000,145.000000,top
"D18","LED","LED_0603_1608Metric_NoSilkscreen",156.083000,-85.471000,-70.000000,top
"D19","LED","LED_0603_1608Metric_NoSilkscreen",156.083000,-88.392000,70.000000,top
"D20","LED","LED_0603_1608Metric_NoSilkscreen",154.178000,-90.678000,-145.000000,top
"D21","LED","LED_0603_1608Metric_NoSilkscreen",151.212500,-91.200000,0.000000,top
"D22","LED","LED_0603_1608Metric_NoSilkscreen",148.212500,-91.200000,180.000000,top
"D23","LED","LED_0603_1608Metric_NoSilkscreen",145.212500,-91.200000,0.000000,top
"D24","LED","LED_0603_1608Metric_NoSilkscreen",142.212500,-91.200000,180.000000,top
"D25","LED","LED_0603_1608Metric_NoSilkscreen",139.212500,-91.200000,0.000000,top
"D26","LED","LED_0603_1608Metric_NoSilkscreen",137.000000,-93.387500,-90.000000,top
"D27","LED","LED_0603_1608Metric_NoSilkscreen",139.212500,-95.600000,0.000000,top
"D28","LED","LED_0603_1608Metric_NoSilkscreen",142.212500,-95.600000,180.000000,top
"D29","LED","LED_0603_1608Metric_NoSilkscreen",145.212500,-95.600000,0.000000,top
"D30","LED","LED_0603_1608Metric_NoSilkscreen",148.212500,-95.600000,180.000000,top
"D31","LED","LED_0603_1608Metric_NoSilkscreen",151.212500,-95.600000,0.000000,top
"D32","LED","LED_0603_1608Metric_NoSilkscreen",154.178000,-96.266000,145.000000,top
"D33","LED","LED_0603_1608Metric_NoSilkscreen",156.083000,-98.552000,-70.000000,top
"D34","LED","LED_0603_1608Metric_NoSilkscreen",156.083000,-101.473000,70.000000,top
"D35","LED","LED_0603_1608Metric_NoSilkscreen",154.178000,-103.759000,-145.000000,top
"D36","LED","LED_0603_1608Metric_NoSilkscreen",151.212500,-104.400000,0.000000,top
"D37","LED","LED_0603_1608Metric_NoSilkscreen",148.212500,-104.400000,180.000000,top
"D38","LED","LED_0603_1608Metric_NoSilkscreen",145.212500,-104.400000,0.000000,top
"D39","LED","LED_0603_1608Metric_NoSilkscreen",142.212500,-104.400000,180.000000,top
"D40","LED","LED_0603_1608Metric_NoSilkscreen",139.212500,-104.400000,0.000000,top
"D41","LED","LED_0603_1608Metric_NoSilkscreen",137.000000,-106.587500,-90.000000,top
"D42","LED","LED_0603_1608Metric_NoSilkscreen",139.212500,-108.800000,0.000000,top
"D43","LED","LED_0603_1608Metric_NoSilkscreen",142.212500,-108.800000,180.000000,top
"D44","LED","LED_0603_1608Metric_NoSilkscreen",145.212500,-108.800000,0.000000,top
"D45","LED","LED_0603_1608Metric_NoSilkscreen",148.212500,-108.800000,180.000000,top
"D46","LED","LED_0603_1608Metric_NoSilkscreen",151.212500,-108.800000,0.000000,top
"D47","LED","LED_0603_1608Metric_NoSilkscreen",154.188083,-109.417692,145.000000,top
"D48","LED","LED_0603_1608Metric_NoSilkscreen",156.093083,-111.703692,-70.000000,top
"D49","LED","LED_0603_1608Metric_NoSilkscreen",156.093083,-114.624692,70.000000,top
"D50","LED","LED_0603_1608Metric_NoSilkscreen",154.178000,-116.967000,-145.000000,top
"D51","LED","LED_0603_1608Metric_NoSilkscreen",151.287500,-117.500000,0.000000,top
"D52","LED","LED_0603_1608Metric_NoSilkscreen",148.287500,-117.500000,180.000000,top
"D53","LED","LED_0603_1608Metric_NoSilkscreen",145.287500,-117.500000,180.000000,top
"D54","LED","LED_0603_1608Metric_NoSilkscreen",142.287500,-117.500000,0.000000,top
"D55","LED","LED_0603_1608Metric_NoSilkscreen",139.287500,-117.500000,180.000000,top
"D56","LED","LED_0603_1608Metric_NoSilkscreen",136.287500,-117.500000,180.000000,top
"D57","LED","LED_0603_1608Metric_NoSilkscreen",133.287500,-117.500000,0.000000,top
"D58","LED","LED_0603_1608Metric_NoSilkscreen",130.287500,-117.500000,180.000000,top
"D59","LED","LED_0603_1608Metric_NoSilkscreen",127.287500,-117.500000,180.000000,top
"D60","LED","LED_0603_1608Metric_NoSilkscreen",124.000000,-116.700000,-45.000000,top
"D61","LED","LED_0603_1608Metric_NoSilkscreen",122.600000,-113.700000,90.000000,top
"D62","LED","LED_0603_1608Metric_NoSilkscreen",122.600000,-110.400000,-90.000000,top
"D63","LED","LED_0603_1608Metric_NoSilkscreen",123.300000,-107.100000,50.000000,top
"D64","LED","LED_0603_1608Metric_NoSilkscreen",126.000000,-105.293751,-150.000000,top
"D65","LED","LED_0603_1608Metric_NoSilkscreen",128.900000,-103.900000,30.000000,top
"D66","LED","LED_0603_1608Metric_NoSilkscreen",131.800000,-101.900000,-125.000000,top
"R1","4k7","R_0805_2012Metric",108.204000,-102.108000,0.000000,top
"R2","4k7","R_0805_2012Metric",108.204000,-100.076000,0.000000,top
"R3","4k7","R_0805_2012Metric",108.204000,-110.490000,90.000000,top
"U1","ZD24C64A","TSSOP-8_4.4x3mm_P0.65mm",107.823000,-91.437500,-90.000000,top
"U2","AW9523B","QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.6mm",114.935000,-93.980000,45.000000,top
"U3","AW9523B","QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.6mm",114.935000,-106.045000,135.000000,top
